educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,idade,mau,posse_de_imovel_Y,posse_de_veiculo_Y,possui_celular,possui_email,possui_fone,possui_fone_comercial,qt_pessoas_residencia,qtd_filhos,sexo_M,tempo_emprego,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
False,False,False,True,True,False,False,False,58.83287671232877,False,True,True,1,0,0,0,2.0,0,True,3.106849315068493,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,True,False,52.35616438356164,False,True,False,1,1,1,0,1.0,0,False,8.35890410958904,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,True,False,52.35616438356164,False,True,False,1,1,1,0,1.0,0,False,8.35890410958904,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,46.224657534246575,False,True,True,1,1,1,1,2.0,0,True,2.106849315068493,False,False,False,True,True,False,False,False,False
False,True,False,False,True,False,False,False,29.23013698630137,False,False,True,1,0,0,0,2.0,0,False,3.021917808219178,False,False,False,True,True,False,False,False,False
False,True,False,False,True,False,False,False,29.23013698630137,False,False,True,1,0,0,0,2.0,0,False,3.021917808219178,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,27.48219178082192,False,True,False,1,0,1,0,2.0,0,False,4.024657534246575,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,27.48219178082192,False,True,False,1,0,1,0,2.0,0,False,4.024657534246575,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,True,False,30.04931506849315,False,True,False,1,0,0,0,2.0,1,False,4.438356164383562,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,True,False,30.04931506849315,False,True,False,1,0,0,0,2.0,1,False,4.438356164383562,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,34.76438356164383,False,True,True,1,0,0,0,5.0,3,True,3.186301369863014,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,32.44383561643836,False,True,False,1,0,0,0,3.0,1,True,5.523287671232877,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,32.44383561643836,False,True,False,1,0,0,0,3.0,1,True,5.523287671232877,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,32.44383561643836,False,True,False,1,0,0,0,3.0,1,True,5.523287671232877,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,56.16986301369863,False,True,True,1,0,1,0,2.0,0,True,12.191780821917808,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,56.16986301369863,False,True,True,1,0,1,0,2.0,0,True,12.191780821917808,False,False,False,False,True,False,False,False,False
